,0
b1,29459
b2,17919
b3,7734
b4,35448
b5,24744
b6,29788
b7,13467
b8,33671
b9,7906
b10,26457
b11,18906
b12,8974
b13,28611
b13a,68
b14,9658
b15,488
b16,16832
b17,11030
b18,3502
b19,6095
b20,10067
b21,37867
b22,666
b23,7
b24,1021
b25,518
b26,26
b27,1100
b28,432
b29,12
b30,52
b31,36
b32,716
b33,19
b34,7732
b35,13942
b36,1763
b37,1055
b38,8678
b39,67
b40,9
b41,8806
b42,718
b43,1590
b44,13
b45,520
b46,152
b47,9
b48,15
b49,1
b50,0
b51,1602
b52,15851
b53,7636
b54,8
b55,8
b56,3053
b57,1848
b57a,291
b58,267
b59,3374
b60,180
b61,261
b62,177
b63,13
b64,349
b65,376
b66,41
b67,85
b68,2863
b69,2068
b70,3368
b71,222
b72,1053
b73,94
b74,121
b75,8
b76,5
b77,6
b78,4
b79,2
b80,1
b81,4
b82,1
b83,0
b84,36879
b85,49876
b86,191
b87,32056
b88,13524
a1,36904
a2,36263
a4,2209
a5,351
a6,2183
a7,2109
a8,2889
a9,3271
a10,54466
a11,44171
a12,1222
a13,13009
a13a,1177
a14,22708
a15,11793
a16,1561
a17,20
a18,6900
a18a,1757
a19,5267
a20,38842
a21,28319
a22,29074
a23,18
a24,797
a25,605
a26,607
a27,76
a28,22572
a29,13124
a30,14
a31,3161
a32,3187
a33,277
a34,7182
a35,0
a36,8
a37,7963
a38,548
a39,158
a40,506
a41,29198
a41a,3810
a3,2215
t1,27531
t2,17356
t3,27762
t4,23036
t5,6450
t6,34
t7,8
t8,6
t9,16482
t10,405
t11,61
t12,29
t13,1394
t14,1378
t15,2199
t16,2076
t17,20824
t18,12330
t18a,317
t18b,3
t19,6588
t19a,298
t20,5761
t21,925
t22,2406
t23,4269
t24,697
t25,126
t26,121
t27,509
t28,39
t29,254
t30,32
t31,43
t31a,6
t32,45
t33,14
t34,79
t35,245
t36,18
t37,50
t38,34
t39,86
t40,103
t41,86
t42,220
t42a,10
t43,10786
t44,24744
t45,29780
t46,1524
t47,31467
t48,14733
t48a,200
t49,232
t50,1200
t51,5949
t52,143
t53,136
t54,27
t55,31
t56,29
t57,39
t58,5231
t59,85
t60,84
t61,110
t62,102
t63,151
t64,13441
t65,18
t66,4394
t67,7177
t68,306
t69,242
t70,207
t71,1037
t72,842
t73,9963
t74,8383
t75,26911
t76,11771
t77,6657
t78,4789
t79,1312
t80,15045
t81,19
t82,15567
t82a,85
t83,17290
t83a,573
t84,8777
t85,7943
t86,28279
t87,573
t87a,68
t88,69
t89,18
t90,4347
t91,38
t92,81
t93,9003
t94,8024
t95,16387
t96,10959
t97,3836
t98,6040
t99,287
t100,16
t101,10
t102,69
t103,23
t104,121
t105,4935
t106,2503
t107,1538
t108,1887
t109,1119
t110,1305
t111,15756
t112,13
t113,14
t114,66
t115,16262
t116,7910
t117,4219
t118,1316
t119,401
t120,314
t121,2100
t122,743
t123a,178
t124,95
t125,1572
t126,17
t127,6405
t128,1040
t129,1874
t130,76
t131,66
t132,88
t133,59
t134,240
t135,97
t136,116
t137,24
t138,9036
t138a,16
t139,1747
t140,9538
t141,30
t141a,15998
t141b,8883
t141c,3752
t142,7724
t143,577
t144,235
t145,582
t146,251
t147,602
t148,1038
t149,1040
t150,287
t151,131
t152,531
t153,60
t154,143
t155,26
t156,131
t157,259
t158,127
t159,349
t160,133
t161,177
t162,165
t163,41
t164,13
t165,434
t166,1531
t167,132
i1,55298
i2,11793
i3,1405
i4,33280
i5,9422
i6,9352
i7,15462
n1,214
n2,29947
n3,31172
n4,6479
n5,424
n6,1488
n7,33969
n8,28230
n9,12781
n10,191
n11,32056
n12,13523
n13,520
n14,56896
n15,1562
n16,37229
n17,41516
n18,32567
n19,13521
n20,51529
n21,21324
n22,507
n23,4571
n24,3580
n25,1151
n26,131
n27,0
n28,0
n29,0
n30,0
n31,0
n32,0
n33,1
n34,0
n35,0
n-tip3p-O,1
n-tip3p-H,1
n36,0
c1,64424
