,0
t1,873
t2,148
t3,25
t4,25
t5,59
t6,21
t7,6
t8,2
t9,25
t10,22
t11,15
t12,6
t13,43
t14,38
t15,12
t16,24
t17,1102
t18,597
t18a,34
t18b,2
t19,34
t19a,2
t20,36
t21,50
t22,302
t23,123
t24,22
t25,28
t26,33
t27,54
t28,22
t29,24
t30,15
t31,10
t31a,3
t32,15
t33,9
t34,19
t35,35
t36,8
t37,11
t38,14
t39,27
t40,25
t41,36
t42,62
t42a,5
t43,791
t44,34
t45,95
t46,19
t47,1160
t48,103
t48a,1
t49,12
t50,13
t51,405
t52,19
t53,3
t54,10
t55,3
t56,23
t57,4
t58,433
t59,20
t60,18
t61,12
t62,19
t63,23
t64,668
t65,16
t66,538
t67,326
t68,68
t69,71
t70,45
t71,21
t72,89
t73,16
t74,1724
t75,777
t76,28
t77,290
t78,113
t79,213
t80,32
t81,1
t82,96
t82a,5
t83,106
t83a,48
t84,27
t85,25
t86,198
t87,47
t87a,5
t88,13
t89,11
t90,44
t91,18
t92,15
t93,61
t94,184
t95,238
t96,121
t97,245
t98,21
t99,22
t100,18
t101,3
t102,6
t103,6
t104,8
t105,595
t106,95
t107,51
t108,27
t109,31
t110,41
t111,31
t112,3
t113,5
t114,5
t115,390
t116,59
t117,34
t118,187
t119,23
t120,18
t121,327
t122,55
t123a,47
t124,61
t125,13
t126,1
t127,103
t128,7
t129,20
t130,26
t131,15
t132,21
t133,45
t134,54
t135,41
t136,16
t137,7
t138,136
t138a,3
t139,38
t140,23
t141,16
t141a,7
t141b,9
t141c,7
t142,87
t143,63
t144,21
t145,18
t146,28
t147,36
t148,28
t149,174
t150,23
t151,18
t152,55
t153,22
t154,11
t155,16
t156,21
t157,64
t158,14
t159,52
t160,74
t161,48
t162,38
t163,11
t164,2
t165,0
t166,0
t167,0
