,0
b1,1257
b2,1033
b3,516
b4,869
b5,1429
b6,665
b7,808
b8,953
b9,415
b10,594
b11,352
b12,344
b13,618
b13a,0
b14,179
b15,22
b16,687
b17,148
b18,242
b19,399
b20,176
b21,955
b22,49
b23,3
b24,91
b25,48
b26,5
b27,125
b28,21
b29,2
b30,12
b31,6
b32,41
b33,2
b34,56
b35,220
b36,48
b37,22
b38,105
b39,28
b40,4
b41,103
b42,79
b43,11
b44,1
b45,18
b46,7
b47,0
b48,3
b49,1
b50,0
b51,94
b52,236
b53,9
b54,2
b55,4
b56,286
b57,133
b57a,41
b58,21
b59,290
b60,9
b61,13
b62,0
b63,1
b64,14
b65,12
b66,1
b67,9
b68,180
b69,182
b70,208
b71,22
b72,111
b73,16
b74,99
b75,0
b76,5
b77,2
b78,3
b79,0
b80,0
b81,1
b82,1
b83,0
b84,1930
b85,1778
b86,8
b87,1067
b88,456
a1,1923
a2,1863
a4,221
a5,114
a6,218
a7,88
a8,74
a9,88
a10,1894
a11,1604
a12,91
a13,244
a13a,40
a14,703
a15,324
a16,154
a17,4
a18,319
a18a,57
a19,345
a20,1046
a21,774
a22,608
a23,2
a24,24
a25,68
a26,69
a27,32
a28,956
a29,93
a30,5
a31,272
a32,272
a33,36
a34,34
a35,0
a36,4
a37,131
a38,35
a39,16
a40,23
a41,871
a41a,79
a3,221
t1,1061
t2,467
t3,1043
t4,795
t5,49
t6,10
t7,5
t8,2
t9,456
t10,69
t11,11
t12,4
t13,89
t14,85
t15,221
t16,219
t17,1213
t18,670
t18a,26
t18b,0
t19,409
t19a,25
t20,308
t21,51
t22,82
t23,183
t24,66
t25,27
t26,24
t27,98
t28,18
t29,27
t30,12
t31,18
t31a,5
t32,15
t33,5
t34,14
t35,55
t36,3
t37,8
t38,15
t39,35
t40,13
t41,17
t42,38
t42a,5
t43,378
t44,1429
t45,665
t46,119
t47,699
t48,189
t48a,5
t49,10
t50,103
t51,355
t52,10
t53,11
t54,6
t55,9
t56,4
t57,4
t58,265
t59,29
t60,29
t61,21
t62,21
t63,9
t64,703
t65,6
t66,181
t67,294
t68,14
t69,30
t70,26
t71,75
t72,63
t73,172
t74,382
t75,663
t76,154
t77,321
t78,248
t79,66
t80,412
t81,2
t82,244
t82a,18
t83,304
t83a,60
t84,334
t85,318
t86,580
t87,46
t87a,0
t88,11
t89,5
t90,61
t91,10
t92,21
t93,149
t94,118
t95,660
t96,128
t97,275
t98,18
t99,15
t100,5
t101,2
t102,7
t103,5
t104,24
t105,339
t106,151
t107,139
t108,117
t109,101
t110,114
t111,234
t112,5
t113,5
t114,17
t115,258
t116,164
t117,147
t118,189
t119,64
t120,51
t121,155
t122,70
t123a,9
t124,5
t125,8
t126,3
t127,68
t128,7
t129,28
t130,17
t131,17
t132,20
t133,10
t134,16
t135,6
t136,8
t137,8
t138,218
t138a,0
t139,45
t140,93
t141,7
t141a,28
t141b,3
t141c,27
t142,12
t143,65
t144,24
t145,36
t146,30
t147,37
t148,69
t149,77
t150,22
t151,16
t152,46
t153,9
t154,16
t155,9
t156,19
t157,21
t158,7
t159,14
t160,9
t161,0
t162,0
t163,0
t164,1
t165,22
t166,150
t167,42
i1,1963
i2,324
i3,87
i4,960
i5,119
i6,319
i7,335
n1,9
n2,1446
n3,1462
n4,79
n5,12
n6,150
n7,1573
n8,696
n9,109
n10,8
n11,1067
n12,456
n13,18
n14,2046
n15,154
n16,1972
n17,1255
n18,808
n19,456
n20,1807
n21,579
n22,23
n23,350
n24,235
n25,131
n26,99
n27,0
n28,0
n29,0
n30,0
n31,0
n32,0
n33,0
n34,0
n35,0
n-tip3p-O,0
n-tip3p-H,0
n36,0
c1,2232
